Order_ID,Order_Date,Ship_Date,Customer_Name,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
CA-202401-1000,2024-01-21,2024-01-24,Barbara Moore,Corporate,Central,Technology,Copiers,651.03,4,0.2,65.1
CA-202401-1001,2024-01-22,2024-01-26,John Smith,Home Office,Central,Furniture,Furnishings,209.44,5,0.0,41.89
CA-202401-1002,2024-01-08,2024-01-13,Linda Davis,Home Office,West,Furniture,Bookcases,649.78,10,0.1,97.47
CA-202401-1003,2024-01-20,2024-01-24,James Taylor,Corporate,South,Technology,Copiers,1482.16,6,0.1,222.32
CA-202401-1004,2024-01-14,2024-01-17,Robert Brown,Consumer,West,Office Supplies,Art,1453.7,8,0.0,290.74
CA-202401-1005,2024-01-23,2024-01-24,Robert Brown,Corporate,East,Office Supplies,Paper,124.19,1,0.3,6.21
CA-202401-1006,2024-01-10,2024-01-11,John Smith,Corporate,South,Furniture,Tables,278.64,9,0.3,13.93
CA-202401-1007,2024-01-10,2024-01-15,James Taylor,Consumer,South,Furniture,Furnishings,550.09,2,0.3,27.5
CA-202401-1008,2024-01-13,2024-01-17,James Taylor,Corporate,Central,Technology,Copiers,956.3,2,0.1,143.45
CA-202401-1009,2024-01-22,2024-01-26,Patricia Wilson,Consumer,Central,Technology,Copiers,1262.34,8,0.3,63.12
CA-202401-1010,2024-01-08,2024-01-10,Linda Davis,Corporate,East,Technology,Phones,442.58,9,0.1,66.39
CA-202401-1011,2024-01-20,2024-01-23,Linda Davis,Home Office,West,Technology,Copiers,719.47,9,0.0,143.89
CA-202401-1012,2024-01-11,2024-01-15,John Smith,Consumer,Central,Technology,Machines,1535.81,10,0.2,153.58
CA-202401-1013,2024-01-13,2024-01-16,John Smith,Consumer,Central,Technology,Accessories,1048.02,7,0.1,157.2
CA-202401-1014,2024-01-01,2024-01-04,Linda Davis,Corporate,West,Furniture,Chairs,446.9,2,0.2,44.69
CA-202401-1015,2024-01-30,2024-02-01,Michael Miller,Corporate,South,Furniture,Tables,1179.17,5,0.2,117.92
CA-202401-1016,2024-01-16,2024-01-19,Patricia Wilson,Home Office,West,Technology,Copiers,1197.91,10,0.1,179.69
CA-202401-1017,2024-01-13,2024-01-17,Patricia Wilson,Consumer,Central,Technology,Machines,1199.1,5,0.1,179.87
CA-202401-1018,2024-01-11,2024-01-14,Patricia Wilson,Home Office,West,Furniture,Chairs,500.95,9,0.3,25.05
CA-202401-1019,2024-01-06,2024-01-10,Barbara Moore,Corporate,West,Technology,Copiers,442.51,5,0.1,66.38
CA-202401-1020,2024-01-24,2024-01-26,Barbara Moore,Consumer,South,Office Supplies,Storage,1997.78,3,0.1,299.67
CA-202401-1021,2024-01-06,2024-01-10,Patricia Wilson,Home Office,East,Technology,Machines,1652.2,1,0.1,247.83
CA-202401-1022,2024-01-28,2024-01-31,Patricia Wilson,Corporate,West,Furniture,Bookcases,1904.42,5,0.0,380.88
CA-202401-1023,2024-01-22,2024-01-25,Robert Brown,Consumer,Central,Office Supplies,Art,1151.1,10,0.1,172.67
CA-202401-1024,2024-01-05,2024-01-10,Mary Johnson,Corporate,South,Technology,Copiers,863.31,1,0.2,86.33
CA-202401-1025,2024-01-07,2024-01-09,John Smith,Corporate,South,Furniture,Chairs,1038.42,1,0.0,207.68
CA-202401-1026,2024-01-01,2024-01-03,Linda Davis,Home Office,East,Office Supplies,Art,1459.6,2,0.3,72.98
CA-202401-1027,2024-01-24,2024-01-26,James Taylor,Corporate,East,Technology,Copiers,311.97,6,0.1,46.8
CA-202401-1028,2024-01-09,2024-01-11,Barbara Moore,Consumer,West,Furniture,Tables,413.61,6,0.2,41.36
CA-202401-1029,2024-01-27,2024-01-29,Patricia Wilson,Consumer,Central,Furniture,Bookcases,162.74,1,0.3,8.14
CA-202401-1030,2024-01-19,2024-01-20,Mary Johnson,Corporate,Central,Office Supplies,Art,1168.94,10,0.0,233.79
CA-202401-1031,2024-01-30,2024-02-04,James Taylor,Home Office,Central,Technology,Phones,154.71,4,0.3,7.74
CA-202401-1032,2024-01-24,2024-01-25,Michael Miller,Consumer,West,Office Supplies,Storage,46.18,9,0.1,6.93
CA-202401-1033,2024-01-04,2024-01-06,Mary Johnson,Consumer,Central,Furniture,Bookcases,722.1,4,0.2,72.21
CA-202401-1034,2024-01-24,2024-01-26,Barbara Moore,Consumer,Central,Technology,Accessories,116.86,8,0.3,5.84
CA-202401-1035,2024-01-01,2024-01-05,Michael Miller,Corporate,East,Office Supplies,Binders,1927.18,7,0.1,289.08
CA-202401-1036,2024-01-14,2024-01-18,Barbara Moore,Corporate,East,Technology,Copiers,1057.04,2,0.0,211.41
CA-202401-1037,2024-01-13,2024-01-17,Mary Johnson,Home Office,West,Office Supplies,Paper,1986.94,5,0.0,397.39
CA-202401-1038,2024-01-01,2024-01-05,John Smith,Corporate,East,Office Supplies,Supplies,661.37,6,0.2,66.14
CA-202401-1039,2024-01-06,2024-01-09,Barbara Moore,Home Office,Central,Office Supplies,Binders,634.15,8,0.3,31.71
CA-202401-1040,2024-01-26,2024-01-31,John Smith,Corporate,West,Furniture,Chairs,499.73,7,0.0,99.95
CA-202401-1041,2024-01-16,2024-01-17,Barbara Moore,Corporate,South,Furniture,Tables,44.7,9,0.2,4.47
CA-202401-1042,2024-01-24,2024-01-29,Mary Johnson,Consumer,South,Furniture,Bookcases,1987.7,4,0.3,99.39
CA-202401-1043,2024-01-17,2024-01-20,Linda Davis,Home Office,West,Furniture,Bookcases,394.13,9,0.3,19.71
CA-202401-1044,2024-01-01,2024-01-02,Robert Brown,Consumer,West,Technology,Phones,603.85,10,0.2,60.39
CA-202401-1045,2024-01-02,2024-01-03,Barbara Moore,Home Office,East,Office Supplies,Art,281.79,8,0.1,42.27
CA-202401-1046,2024-01-09,2024-01-11,James Taylor,Corporate,West,Furniture,Bookcases,1189.63,3,0.0,237.93
CA-202401-1047,2024-01-21,2024-01-23,Barbara Moore,Home Office,South,Technology,Phones,1955.34,7,0.3,97.77
CA-202401-1048,2024-01-27,2024-01-31,James Taylor,Corporate,South,Office Supplies,Art,1517.25,2,0.2,151.72
CA-202401-1049,2024-01-30,2024-02-03,Barbara Moore,Home Office,South,Office Supplies,Storage,1963.13,10,0.0,392.63
CA-202401-1050,2024-01-05,2024-01-06,Mary Johnson,Corporate,West,Furniture,Tables,1894.13,1,0.3,94.71
CA-202401-1051,2024-01-20,2024-01-23,John Smith,Home Office,East,Furniture,Tables,1514.0,1,0.1,227.1
CA-202401-1052,2024-01-27,2024-02-01,Barbara Moore,Consumer,West,Technology,Machines,1855.82,8,0.2,185.58
CA-202401-1053,2024-01-16,2024-01-17,Robert Brown,Home Office,East,Technology,Accessories,1966.22,10,0.0,393.24
CA-202401-1054,2024-01-29,2024-02-02,Mary Johnson,Corporate,West,Office Supplies,Supplies,585.61,7,0.1,87.84
CA-202401-1055,2024-01-20,2024-01-22,John Smith,Corporate,South,Furniture,Chairs,869.74,8,0.2,86.97
CA-202401-1056,2024-01-28,2024-02-01,Michael Miller,Consumer,Central,Technology,Copiers,94.35,5,0.3,4.72
CA-202401-1057,2024-01-10,2024-01-15,Linda Davis,Consumer,Central,Office Supplies,Paper,1856.13,9,0.3,92.81
CA-202401-1058,2024-01-02,2024-01-05,Michael Miller,Corporate,West,Office Supplies,Supplies,870.73,4,0.0,174.15
CA-202401-1059,2024-01-26,2024-01-31,Patricia Wilson,Corporate,West,Furniture,Bookcases,1262.18,7,0.3,63.11
CA-202401-1060,2024-01-17,2024-01-22,Linda Davis,Home Office,East,Furniture,Chairs,261.16,10,0.2,26.12
CA-202401-1061,2024-01-02,2024-01-05,Barbara Moore,Corporate,South,Office Supplies,Art,1132.86,8,0.2,113.29
CA-202401-1062,2024-01-10,2024-01-13,Robert Brown,Corporate,West,Furniture,Bookcases,1769.43,6,0.1,265.41
CA-202401-1063,2024-01-12,2024-01-15,Mary Johnson,Home Office,South,Technology,Accessories,1503.83,8,0.2,150.38
CA-202401-1064,2024-01-09,2024-01-14,Barbara Moore,Home Office,East,Office Supplies,Binders,1934.87,3,0.1,290.23
CA-202401-1065,2024-01-28,2024-01-30,John Smith,Home Office,West,Technology,Copiers,1165.88,10,0.3,58.29
CA-202401-1066,2024-01-08,2024-01-10,Michael Miller,Corporate,East,Office Supplies,Paper,1472.36,3,0.0,294.47
CA-202401-1067,2024-01-30,2024-02-01,Mary Johnson,Consumer,Central,Technology,Phones,1221.16,7,0.3,61.06
CA-202401-1068,2024-01-02,2024-01-04,James Taylor,Corporate,Central,Office Supplies,Storage,752.02,10,0.2,75.2
CA-202401-1069,2024-01-27,2024-01-30,James Taylor,Corporate,West,Technology,Machines,1687.4,9,0.0,337.48
CA-202401-1070,2024-01-08,2024-01-09,John Smith,Corporate,West,Office Supplies,Storage,1686.47,1,0.0,337.29
CA-202401-1071,2024-01-23,2024-01-24,Mary Johnson,Home Office,East,Furniture,Furnishings,1090.91,1,0.0,218.18
CA-202401-1072,2024-01-30,2024-02-02,Barbara Moore,Consumer,Central,Furniture,Chairs,1315.45,10,0.2,131.55
