Order_ID,Order_Date,Ship_Date,Customer_Name,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
CA-202403-1000,2024-03-05,2024-03-06,Mary Johnson,Consumer,West,Furniture,Furnishings,813.68,4,0.1,122.05
CA-202403-1001,2024-03-04,2024-03-08,Michael Miller,Consumer,Central,Office Supplies,Binders,1557.02,10,0.2,155.7
CA-202403-1002,2024-03-09,2024-03-14,Patricia Wilson,Corporate,South,Furniture,Bookcases,133.1,5,0.0,26.62
CA-202403-1003,2024-03-20,2024-03-24,Robert Brown,Home Office,Central,Technology,Copiers,1308.54,7,0.2,130.85
CA-202403-1004,2024-03-08,2024-03-09,Patricia Wilson,Corporate,West,Technology,Accessories,1008.04,5,0.1,151.21
CA-202403-1005,2024-03-27,2024-04-01,Linda Davis,Consumer,Central,Office Supplies,Storage,208.17,1,0.2,20.82
CA-202403-1006,2024-03-10,2024-03-13,Patricia Wilson,Home Office,West,Technology,Accessories,540.39,1,0.1,81.06
CA-202403-1007,2024-03-05,2024-03-06,Mary Johnson,Corporate,South,Office Supplies,Binders,889.6,1,0.1,133.44
CA-202403-1008,2024-03-05,2024-03-10,Robert Brown,Home Office,West,Technology,Phones,809.44,7,0.1,121.42
CA-202403-1009,2024-03-01,2024-03-02,Linda Davis,Home Office,East,Technology,Phones,290.67,8,0.2,29.07
CA-202403-1010,2024-03-19,2024-03-22,Barbara Moore,Consumer,South,Furniture,Furnishings,369.18,6,0.3,18.46
CA-202403-1011,2024-03-29,2024-03-30,Robert Brown,Home Office,Central,Furniture,Chairs,1861.76,1,0.3,93.09
CA-202403-1012,2024-03-25,2024-03-29,Michael Miller,Home Office,West,Technology,Copiers,1280.19,5,0.1,192.03
CA-202403-1013,2024-03-07,2024-03-08,Michael Miller,Consumer,East,Office Supplies,Binders,672.6,1,0.3,33.63
CA-202403-1014,2024-03-13,2024-03-14,John Smith,Corporate,West,Furniture,Chairs,1155.16,2,0.3,57.76
CA-202403-1015,2024-03-14,2024-03-18,Patricia Wilson,Consumer,South,Furniture,Tables,1768.8,5,0.1,265.32
CA-202403-1016,2024-03-02,2024-03-05,Patricia Wilson,Consumer,Central,Technology,Accessories,1163.77,3,0.0,232.75
CA-202403-1017,2024-03-13,2024-03-15,Barbara Moore,Corporate,West,Furniture,Tables,731.45,4,0.1,109.72
CA-202403-1018,2024-03-10,2024-03-15,Linda Davis,Consumer,East,Furniture,Furnishings,681.99,6,0.1,102.3
